Anime,Season,Anime Type,Episodes,Genres,Description,Characters,Recommendations
Paripi Koumei,Musim semi 2022,TV,12,Pemeran Dewasa,"Zhuge Kongming earned a reputation as one of the greatest tacticians of the Three Kingdoms period of third-century China. Having led his army through countless grueling victories, Kongming falls gravely ill during the Battle of Wuzhang Plains. The weariness and regret stemming from the seemingly never-ending war catch up to him, and as he draws his final breath, Kongming wishes that if he were to reincarnate, he would be reborn in a more peaceful era.

His wish comes true, and Kongming wakes up in modern-day Tokyo with a younger body and his memories intact. Thrust into an unfamiliar world, he finds his way into a nightclub and meets Eiko Tsukimi, an aspiring singer whose performance immediately captivates him. Pitying his confusion, Eiko takes Kongming under her wing and teaches him about the current world, which leads to Kongming's interest in contemporary music. Seeing Eiko's immense musical potential, Kongming vows to make the world recognize her and soon takes on the role of her manager.

Unsurprisingly, the music industry is unforgiving to those who make even the slightest mistakes. Still, Kongming is determined to accomplish his goals—even if he must utilize the war stratagems he famously used in his previous life!

[Written by MAL Rewrite]
","Tsukimi, Eiko; Zhuge, Kongming; Kabe Taijin; Kuon, Nanami; Owner Kobayashi; Eiko's Fan; DJ Satori; Iriomote, Mia; Karasawa, Toshihiko; Sasaki","Zombieland Saga, D4DJ: First Mix, IDOLiSH7, Carole & Tuesday, Hinamatsuri (TV), Yuusha, Yamemasu, Gal to Kyouryuu, Thermae Romae Novae, Saint☆Oniisan (Movie), Ryuu to Sobakasu no Hime, Kingdom 3rd Season, Shirobako, Subarashiki Kono Sekai The Animation, Angel Beats!, Hikaru no Gen-chan, Tonkatsu DJ Agetarou, ClassicaLoid, Tengen Toppa Gurren Lagann, Youjo Senki, Vivy: Fluorite Eye's Song, Hikaru no Go"
"Yuusha, Yamemasu",Musim semi 2022,TV,12,Aksi,"When Demon Queen Echidna begins her invasion of the human realm, the people turn to the hero Leo Demonheart to protect them. Blessed with insurmountable power, Leo easily repels Echidna's army, thereby saving the world. But instead of gratitude or admiration, Leo is met with disdain and scorn from his fellow humans, who fear his overwhelming strength and believe that it may eventually cause humanity's demise.

Banished from the kingdom he once called home, Leo wanders aimlessly throughout the land until, one day, he hears rumors of Echidna's efforts to rebuild her army. Hoping that demonkind might accept him as an ally, he returns to the demon queen's castle and offers Echidna his help.

Naturally, Echidna immediately rejects him. Still, not all hope is lost, as Leo manages to convince Echidna's four generals to let him secretly work under their supervision. Donning the identity of a masked dark knight named Onyx, Leo solves the demon army's problems one by one—gradually improving the quality of life around the castle. Above all else, however, Leo wants to accomplish one goal: to learn why Echidna started the war in the first place.

[Written by MAL Rewrite]
","Echidna; Demonheart, Leo; Steina; Lili; Melnes; Eibrad; Jerietta; Edwald; Dianette; King","Maoyuu Maou Yuusha, Tate no Yuusha no Nariagari, Zetsuen no Tempest, Paripi Koumei, Moshidora, Arifureta Shokugyou de Sekai Saikyou, Sentouin, Hakenshimasu!, Maou Gakuin no Futekigousha: Shijou Saikyou no Maou no Shiso, Tensei shite Shison-tachi no Gakkou e Kayou, Plunderer, Hataraku Maou-sama!, Overlord, Rokka no Yuusha, Shijou Saikyou no Daimaou, Murabito A ni Tensei suru, Shikkakumon no Saikyou Kenja, Spy x Family, Date A Live IV"
Date A Live IV,Musim semi 2022,TV,12,"Komedi, Harem","Despite the numerous challenges he has overcome so far, Shidou Itsuka's mission with Ratatoskr is far from over. In a departure from his daily routine, Shidou encounters a starving woman lying on the street and ends up helping her. After the two arrive at her apartment, the woman introduces herself as Nia Honjou—a popular manga artist working under a pen name. However, cutting straight to the chase, Nia reveals that she is also a Spirit and is aware of Shidou's secret operation.

Interested in seeing his charisma firsthand, Nia challenges Shidou to win her over on a date. As he strives for an opportunity to seal her powers, Shidou learns more about Nia and her history with Deus Ex Machina Industries, a name he is all too familiar with...

[Written by MAL Rewrite]
","Yatogami, Tooka; Tobiichi, Origami; Itsuka, Kotori; Itsuka, Shidou; Tokisaki, Kurumi; Yoshino; Izayoi, Miku; Kyouno, Natsumi; Yamai, Yuzuru; Yamai, Kaguya","Kami nomi zo Shiru Sekai, Arifureta Shokugyou de Sekai Saikyou: Maboroshi no Bouken to Kiseki no Kaigou, Tate no Yuusha no Nariagari Season 3, Kunoichi Tsubaki no Mune no Uchi, , Healer Girl, Isekai Meikyuu de Harem wo, Summertime Render, Shokei Shoujo no Virgin Road, Tensei Kenja no Isekai Life: Dai-2 no Shokugyou wo Ete, Sekai Saikyou ni Narimashita, Teppen!!!!!!!!!!!!!!!, Black★★Rock Shooter:  Dawn Fall, Genjitsu no Yohane: Sunshine in the Mirror, Bleach: Sennen Kessen-hen, Kuro no Shoukanshi, Dance Dance Danseur"
Otome Game Sekai wa Mob ni Kibishii Sekai desu,Musim semi 2022,TV,12,"Fantasi, Isekai","Blackmailed into playing a dating simulator set in a matriarchy, an ordinary man must put up with the unbearable and convoluted world until he clears the game. After countless days of grinding, he finally manages to beat it, but his hardcore gaming comes at a cost: extreme sleep deprivation and hunger.

While heading out to the convenience store to solve one of these problems, the man tumbles down the stairs and falls unconscious, only to wake up to the worst possible realization—he has been reincarnated into the game as the mob character Leon Fou Bartfort. Now trapped in a world he despises, Leon must use his knowledge of the game to navigate through the plot safely and sustain himself in a society where the odds are heavily stacked against him.

[Written by MAL Rewrite]
","Fou Bartfort, Leon; Rapha Redgrave, Angelica; Olivia; Fou Lafan, Marie; Rapha Holfort, Mylene; Luxion; Lucas; Sera Fanoss, Hertrude; Fou Roseblade, Deirdre; Fia Atlee, Clarice","Otome Game no Hametsu Flag shika Nai Akuyaku Reijou ni Tensei shiteshimatta..., Kami nomi zo Shiru Sekai, Date A Live, Shijou Saikyou no Daimaou, Murabito A ni Tensei suru, Meikyuu Black Company, Yahari Ore no Seishun Love Comedy wa Machigatteiru., Kyuukyoku Shinka shita Full Dive RPG ga Genjitsu yori mo Kusoge Dattara, Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e, Kaifuku Jutsushi no Yarinaoshi, Kono Subarashii Sekai ni Shukufuku wo!, Summertime Render, Machikado Mazoku: 2-choume, Love All Play, Trigun Stampede, Kage no Jitsuryokusha ni Naritakute!, Mamahaha no Tsurego ga Motokano datta"
"Shijou Saikyou no Daimaou, Murabito A ni Tensei suru",Musim semi 2022,TV,12,"Aksi, Sekolah","As the most powerful entity of all time, the Demon Lord Varvatos thinks life is a big fat snore. When he takes matters into his own hands and decides to reincarnate, he calibrates his magical strength to be perfectly average. But there is no way he could have predicted that everyone in the modern world would be weak as hell, which means he is totally overpowered once again! Reborn under the name Ard, he has ladies fawning over him, the royal family begging him to become the next king, and an ex-minion insisting on killing him?! But Ard has a one-track mind, and he won't stop at anything to achieve his ultimate goal!

(Source: Yen Press)","Meteor, Ard; Litz de Olhyde, Ireena; Fin de Salvan, Ginny; vel Vine, Olivia; Beginsgate, Lydia; Varvatos; Marheaven, Sylphy; El Hazard, Verda; Elzard; Jessica","Maou Gakuin no Futekigousha: Shijou Saikyou no Maou no Shiso, Tensei shite Shison-tachi no Gakkou e Kayou, Mushoku Tensei: Isekai Ittara Honki Dasu, Watashi, Nouryoku wa Heikinchi de tte Itta yo ne!, Kenja no Mago, Shikkakumon no Saikyou Kenja, Slime Taoshite 300-nen, Shiranai Uchi ni Level Max ni Nattemashita, Isekai wa Smartphone to Tomo ni., Yuusha, Yamemasu, Otome Game Sekai wa Mob ni Kibishii Sekai desu, Date A Live IV, Rikei ga Koi ni Ochita no de Shoumei shitemita. Heart, Isekai Yakkyoku, Hataraku Maou-sama!!, Spy x Family Part 2, Koroshi Ai, Engage Kiss"
Koi wa Sekai Seifuku no Ato de,Musim semi 2022,TV,12,"Komedi, Shounen","Fudou Aikawa and Desumi Magahara have just started dating, but no one is allowed to know! Nicknamed ""Red Gelato,"" Fudou is the leader of ""Gelato 5,"" a group of heroes dedicated to protecting Japan. On the other hand, the ""Reaper Princess"" Desumi is one of the combatant leaders of ""Gekko,"" an evil secret society bent on world domination and considered Gelato 5's greatest foe. As they pretend to be mortal enemies, Fudou and Desumi sneak away from battle to spend time together.

Despite their inexperience with romance, Fudou and Desumi strive to make their relationship work while avoiding suspicion from their comrades. With their loyalties divided between each other and their respective sides, the couple will have to stay on guard if they want to keep their love a secret from the rest of the world.

[Written by MAL Rewrite]
","Magahara, Desumi; Aikawa, Fudou; Majima, Kiki; Jinguuji, Misaki; Hellko; Houjou, Anna; Big Gelato; Culverin Bear; Ran Ran; Arisugawa, Haru","Kishuku Gakkou no Juliet, Kaijin Kaihatsu-bu no Kuroitsu-san, Yoru no Yatterman, Kimi to Boku no Saigo no Senjou, Aruiwa Sekai ga Hajimaru Seisen, Mobile Suit Gundam: The 08th MS Team, Machikado Mazoku, SSSS.Gridman, Tokumu Sentai Shinesman, Kawaii dake ja Nai Shikimori-san, Sono Bisque Doll wa Koi wo Suru, Spy x Family, Kunoichi Tsubaki no Mune no Uchi, Dance Dance Danseur, Gunjou no Fanfare, Shadows House 2nd Season, Lycoris Recoil"
Shokei Shoujo no Virgin Road,Musim semi 2022,TV,12,Aksi,"Average student Mutou Mitsuki suddenly finds himself transported to another realm. Summoned by the king of this world for the remarkable power he is supposed to possess, Mutou is thrown out when it appears that he lacks a ""Special Concept."" Moping about, he encounters a priestess named Menou who explains that Japanese people like him are known as Lost Ones, and such individuals never fail to have Special Concepts. 

Menou elaborates that she is part of a church that helps abandoned Lost Ones integrate into society. She invites him to spend the night at her church, where the two can probe the nature of his ability. Eventually, they discover that Mutou's Special Concept is actually incredibly powerful and dangerous. 

But is Menou's true goal is to assist Lost Ones—or the opposite? 

[Written by MAL Rewrite, edited]","Menou; Tokitou, Akari; Momo; Ashuna; Pandemonium; Mitsuki; Manon; Flare; Manon's Mother; Sicilia","Munou na Nana, Re:Zero kara Hajimeru Isekai Seikatsu, Mahou Shoujo Madoka★Magica, Sekai Saikou no Ansatsusha, Isekai Kizoku ni Tensei suru, Mirai Nikki (TV), Satsuriku no Tenshi, Plastic Memories, Mushoku Tensei: Isekai Ittara Honki Dasu, Akuma no Riddle, Machikado Mazoku, El Cazador de la Bruja, 91 Days, Release the Spyce, Birdie Wing: Golf Girls' Story"
Rikei ga Koi ni Ochita no de Shoumei shitemita. Heart,Musim semi 2022,TV,12,Komedi,"Following the events of their trip to Okinawa, Saitama University graduate students Shinya Yukimura and Ayame Himuro have failed to obtain the data necessary to scientifically prove their love for each other. Unable to replicate the exact conditions of the trip, the two stubborn scientists decide to seek help from elsewhere in the university—the Biological Sciences department.

Assisted by fellow graduate students and longtime couple Chris Floret and Suiu Fujiwara, Yukimura and Himuro begin to quantify their feelings by measuring their output of oxytocin in various romantic situations. The two scientists soon find that their feelings for each other are nothing compared to that of a mature couple. It is here that Chris poses a question to both Yukimura and Himuro: what will they do if their ""affection"" is proven not to be love after all?

Desperate to find a scientific rationale for the discrepancy, Yukimura puts everything on the line to prove that their ""love"" is real.

[Written by MAL Rewrite]
","Himuro, Ayame; Yukimura, Shinya; Ibarada, Ena; Kanade, Kotonoha; Inukai, Kosuke; Rikekuma; Fujiwara, Suiu; Ikeda, Professor; Aika; Takahashi-sensei","Saikin Yatotta Maid ga Ayashii, Kenja no Deshi wo Nanoru Kenja, Heroine Tarumono! Kiraware Heroine to Naisho no Oshigoto, Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka IV: Shin Shou - Meikyuu-hen, Kawaii dake ja Nai Shikimori-san, Build Divide: Code White, Karakai Jouzu no Takagi-san Movie, Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen OVA, Love Live! Nijigasaki Gakuen School Idol Doukoukai 2nd Season, Kunoichi Tsubaki no Mune no Uchi, Kaijin Kaihatsu-bu no Kuroitsu-san, Akebi-chan no Sailor-fuku, Overlord IV, Otome Game Sekai wa Mob ni Kibishii Sekai desu, Bibitto Love, Tonikaku Kawaii: Seifuku"
Ao Ashi,Musim semi 2022,TV,24,"Olahraga, Olahraga Tim, Seinen","In a quiet rural town, the spotlight of a local junior high school football team rests on one player: Ashito Aoi. Known for his unpredictable moves and self-centered playing style, Ashito is the sole powerhouse pushing his team through an important high school preliminary tournament. However, their win streak is short-lived—an opponent causes Ashito to lose his temper and act violently, resulting in his removal from the rest of the game.

Without their star player, the team is quickly eliminated from the tournament. Just as he believes all hope is lost, Ashito is approached by a youth team coach named Tatsuya Fukuda who senses potential in him, and Fukuda invites him for tryouts in Tokyo. In an unfamiliar setting surrounded by talent, Ashito must bring out the best of his ability to prove himself and secure what could be a life-changing career.

[Written by MAL Rewrite]
","Aoi, Ashito; Ichijou, Hana; Fukuda, Tatsuya; Akutsu, Nagisa; Aoi, Noriko; Ootomo, Eisaku; Asari, Marchis Jun; Togashi, Keiji; Kuribayashi, Haruhisa; Tachibana, Soichirou","Haikyuu!!, Hajime no Ippo, Diamond no Ace, Giant Killing, Hunter x Hunter (2011), Days (TV), Inazuma Eleven, Kaze ga Tsuyoku Fuiteiru, Slam Dunk, Captain Tsubasa: Road to 2002, Area no Kishi, Megalo Box, Baby Steps, IDOLiSH7, Spy x Family Part 2, Futsal Boys!!!!!"
Mahoutsukai Reimeiki,Musim semi 2022,TV,12,Aksi,"Although he attends the Royal Magic Academy in the Kingdom of Wenias, Sable has the worst grades in the entire school. As he has no memories of his time before attending the institution, when Headmaster Albus tasks him with a special training regimen in the south, Sable eagerly accepts it. Alongside the Dawn Witch, Roux Cristasse; Holt, a human girl with antlers; and Kudd, a lizard Beastfallen, Sable must establish a village of witches in a region where anti-witch sentiment remains strong.

During their journey, the quartet avoids former members of the Dia Ignis Arbiters—a group of witch hunters notorious for murdering witches and civilians alike. Five years ago, their organization was disbanded and given amnesty with the end of the war between the Church and witches, but their members still linger and are ready to capture any mages they come across.

Thankfully, with Roux's Staff of Ludens, the ""witch-eater,"" and Sable's unlimited supply of magic, the group may be able to accomplish their mission for Albus. If not, Sable's memories of magic and the academy will be taken away, and he will be left with nothing to guide him to the silver-haired mage who first rescued him.

[Written by MAL Rewrite]
","Cristasse, Roux; Holt; Sable; Kudd; Zero; Youhei; Albus; Holdem; Lily; Shinpu","Aharen-san wa Hakarenai, Kage no Jitsuryokusha ni Naritakute!, Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka IV: Shin Shou - Meikyuu-hen, Rikei ga Koi ni Ochita no de Shoumei shitemita. Heart, Isekai Meikyuu de Harem wo, Engage Kiss, Arifureta Shokugyou de Sekai Saikyou: Maboroshi no Bouken to Kiseki no Kaigou, Paripi Koumei, Ao Ashi, Orient, Kaguya-sama wa Kokurasetai: First Kiss wa Owaranai, Summertime Render, Kumichou Musume to Sewagakari, Tensai Ouji no Akaji Kokka Saisei Jutsu, Fantasy Bishoujo Juniku Ojisan to, Dr. Stone: Ryuusui"
Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen 3rd Season,Musim semi 2022,TV,10,"Fantasi, Isekai","Winter is approaching, and Myne—now an apprentice priestess—must prepare for her stay at the church and the upcoming Dedication Ceremony. However, due to her immense knowledge and extraordinary amount of mana, she has garnered the attention of many dangerous people, who are willing to do anything to get their hands on Myne.

To keep her safe, the Head Priest assigns Myne a bodyguard and advises her to be adopted by a noble, a decision that will force her to leave her family behind. As Myne is opposed to the idea, the Head Priest gives her an ultimatum: she can be with her family until she turns 10, but if she is deemed too unstable, she will immediately be dealt with.

Placed in a tough position, Myne is uncertain about her future. Despite the twists that may lie ahead, she will do whatever she can to protect those that she loves—even if it means giving up on her dream.

[Written by MAL Rewrite]
",Myne; Ferdinand; Benno; Lutz; Tuuli; Gunther; Frida; Sylvester; Otto; Fran,"Deaimon, Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen, Summertime Render, Otome Game Sekai wa Mob ni Kibishii Sekai desu, Genjitsu Shugi Yuusha no Oukoku Saikenki Part 2, Date A Live IV, Onipan!, Made in Abyss: Retsujitsu no Ougonkyou, Noumin Kanren no Skill bakka Agetetara Nazeka Tsuyoku Natta., Paripi Koumei, Meitantei Conan: Zero no Tea Time, Sabikui Bisco, Yuusha, Yamemasu: Kenshuu Ryokou wa Mokuteki wo Miushinau na, Heroine Tarumono! Kiraware Heroine to Naisho no Oshigoto, Yuusha Party wo Tsuihou sareta Beast Tamer, Saikyoushu no Nekomimi Shoujo to Deau, Princess Connect! Re:Dive Season 2"
Deaimon,Musim semi 2022,TV,12,"Sepotong Kehidupan, Seinen","Nagomu Irino returns to his Kyoto home for the first time in ten years when his father is hospitalized. Nagomu is eager to take over Ryokushou, the family's Japanese sweet shop, but he's instead asked to be a father figure to Itsuka Yukihira, the girl everyone calls the successor.

(Source: Manga Translation Battle)","Irino, Nagomu; Yukihira, Itsuka; Matsukaze, Kanoko; Horikawa, Mitsuru; Kisaichi, Hiiro; Yukihira, Tomoe; Irino, Heigo; Koume; Kazuyan; Hiiro's Mother","Barakamon, Usagi Drop, Hanasaku Iroha, Amaama to Inazuma, Taisou Zamurai, 3-gatsu no Lion, Tamako Market, Doukyonin wa Hiza, Tokidoki, Atama no Ue., Kakushigoto, Blend S, Rokuhou-dou Yotsuiro Biyori, Dagashi Kashi, Slow Loop, Tamayura: Hitotose, Udon no Kuni no Kiniro Kemari, Saikin Yatotta Maid ga Ayashii"
Machikado Mazoku: 2-choume,Musim semi 2022,TV,12,"Komedi, Mahou Shoujo",Second season of Machikado Mazoku.,"Yoshida, Yuuko; Chiyoda, Momo; Lico; Hinatsuki, Mikan; Lilith; Yoshida, Ryouko; Ogura, Shion; Yoshida, Seiko; Sata, Anri; Lady With a Dog","Musashino!, Kunoichi Tsubaki no Mune no Uchi, Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka IV Episode 0, Magia Record: Mahou Shoujo Madoka☆Magica Gaiden Final Season - Asaki Yume no Akatsuki, Kaijin Kaihatsu-bu no Kuroitsu-san, Hataraku Maou-sama!!, Isekai Yakkyoku, Otome Game Sekai wa Mob ni Kibishii Sekai desu, Kakkou no Iinazuke, Yuusha, Yamemasu, Machikado Mazoku: 2-choume Mini, Yuusha, Yamemasu: Kenshuu Ryokou wa Mokuteki wo Miushinau na, Tensei Kenja no Isekai Life: Dai-2 no Shokugyou wo Ete, Sekai Saikyou ni Narimashita, Paripi Koumei, Yofukashi no Uta, Mamahaha no Tsurego ga Motokano datta"
Heroine Tarumono! Kiraware Heroine to Naisho no Oshigoto,Musim semi 2022,TV,12,Idola (Pria),"Hiyori Suzumi, who left her hometown to continue pursuing her passion of track and field, enrolls in Tokyo's Sakuragaoka High School. In searching for a part-time job, Hiyori ends up becoming an apprentice manager for her classmates Yuujirou Someya and Aizou Shibasaki, who are members of the idol group LIPxLIP. The story follows the struggles that Hiyori faces with school, extracurricular activities, and her managing job, as well as the idol group LIPxLIP as they perform on stage.

(Source: MAL News)","Suzumi, Hiyori; Someya, Yujiro; Shibasaki, Aizo; Nakamura, Chizuru; Hattori, Juri; Setoguchi, Hina; Narumi, Sena; Narumi, Mona; Akechi, Saku; Enomoto, Kotarou","Skip Beat!, IDOLiSH7, Ensemble Stars!, Spy x Family Part 2, Fantasy Bishoujo Juniku Ojisan to, Kami Kuzu☆Idol, Meitantei Conan: Zero no Tea Time, Prima Doll, Birdie Wing: Golf Girls' Story Season 2, Healer Girl, Yuusha, Yamemasu, Bubble, Date A Live V, Shadows House 2nd Season, Tate no Yuusha no Nariagari Season 2, Tomo-chan wa Onnanoko!"
Kunoichi Tsubaki no Mune no Uchi,Musim semi 2022,TV,13,"Komedi, Shounen","Tsubaki hails from an all-female clan of ninjas hidden deep in the forest. While a strict code guides the many kunoichi in training, the most important rule the young women must adhere to is: never interact with men, for they are far too dangerous to be trusted.

As the leader of Team Dog, Tsubaki has many duties she must handle. However, despite being a skilled trainee, she begins to react strangely whenever the topic of men surfaces. Unaware of what mysterious feelings are taking over her heart, Tsubaki's growing curiosity soon interferes with her ability to keep up with her work.

[Written by MAL Rewrite]
",Tsubaki; Sazanka; Rindou; Asagao; Mokuren; Benisumomo; Ajisai; Fuki; Hinagiku; Tachiaoi,"Nobunaga no Shinobi, Himawari!, Soredemo Ayumu wa Yosetekuru, Himawari!!, Naruto: Shippuuden, Araburu Kisetsu no Otome-domo yo., Isekai Yakkyoku, Yatogame-chan Kansatsu Nikki Yonsatsume, Shokei Shoujo no Virgin Road, Heroine Tarumono! Kiraware Heroine to Naisho no Oshigoto, Meitantei Conan: Zero no Tea Time, Kono Healer, Mendokusai, Machikado Mazoku: 2-choume, Build Divide: Code White, Shadows House 2nd Season, Kaginado Season 2"
"Kono Healer, Mendokusai",Musim semi 2022,TV,12,Petualangan,"In a world where monster invasions are rampant and frequent, being an adventurer in a party is considered one of the most desirable jobs for the honor and fame it provides. Wanting to make a name for himself, a young human warrior named Alvin intends to start his career by completing a low-level request for the guild.

While en route, Alvin is confronted by a magical bear and immediately finds himself in a pinch. As luck would have it, a dark elf healer named Karla approaches and asks if Alvin requires assistance—being seemingly oblivious to the situation before her eyes. After a discussion needlessly complicated by Karla's absurdly eccentric personality, Alvin somehow convinces her to help him. Unfortunately, instead of healing him, she accidentally casts a curse: if Alvin strays too far from her, he shall die.

Despite being forced to accompany Karla until the curse is broken, Alvin remains steadfast in his ambition to become a full-fledged adventurer. With a partner by his side, the journey toward his goal may grow easier—or harder—depending on Karla's whims.

[Written by MAL Rewrite]
","Karla; Alvin; Deathflame, Maria; Altargaia; Anna; Oomune Kuma; Medusa; Ryoko; Thief; Dryad","Yahari Ore no Seishun Love Comedy wa Machigatteiru., Gintama, Senyuu., Mahoujin Guruguru (2017), Maoujou de Oyasumi, Yuusha Party wo Tsuihou sareta Beast Tamer, Saikyoushu no Nekomimi Shoujo to Deau, Spy x Family Part 2, Yuusha, Yamemasu, Isekai Shoukan wa Nidome desu, Gaikotsu Kishi-sama, Tadaima Isekai e Odekakechuu, Genjitsu no Yohane: Sunshine in the Mirror, Shadows House 2nd Season, Isekai Ojisan, Summertime Render, Jantama Pong☆ Episode 0, Arifureta Shokugyou de Sekai Saikyou 2nd Season"
Kingdom 4th Season,Musim semi 2022,TV,26,"Laga, Historis, Seinen","Following the conclusion of the large-scale coalition campaign, the entirety of China is in a state of economic recovery. The victor of the battle, the state of Qin, is no different. There, the political parties led by Ying Zheng and Buwei Lü continue their inner conflict. Having played the role of king in the coalition battle, Zheng has the trust of the people—but Lü is far from out of the fight. In 18 months, he plans to interrupt Zheng's coming-of-age ceremony.

Meanwhile, a Zhao army numbering 20,000 troops has set out toward Qin. In the royal court, due to the lack of generals capable of responding to the incoming threat, Lü slyly suggests that Zheng take command. However, Cheng Jiao, Zheng's half-brother, volunteers instead. As they grew to trust each other during the coalition battle, Zheng now accepts Jiao as his replacement.

However, the Zhao forces retreat a mere half-day after clashing with Jiao's army. With trouble quickly brewing in the shadows, the internal struggle of Qin is only complicated further. There are only two men Zheng feels he can rely on: Bi, a general who commands 30,000 men; and Xin, the leader of the Fei Xin force.

[Written by MAL Rewrite]
","Xin; Lei, Qiang; Ying, Zheng; He Liao, Diao; Huan, Yi; Wang, Jian; Meng, Tian; Li, Mu; Teng; Chang Pin Jun","Otome Game Sekai wa Mob ni Kibishii Sekai desu, Kawaii dake ja Nai Shikimori-san, Vanitas no Karte Part 2, Hanabi-chan wa Okuregachi, Yatogame-chan Kansatsu Nikki Yonsatsume, Bucchigire!, Fuuto Tantei, Love Live! Superstar!! 2nd Season, Love All Play, Tiger & Bunny 2, Isekai Ojisan, Kingdom 2nd Season, Cap Kakumei Bottleman DX, Aharen-san wa Hakarenai, Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka IV: Shin Shou - Meikyuu-hen, Hataraku Maou-sama!!"
RPG Fudousan,Musim semi 2022,TV,12,"Komedi, CGDCT","In a world at peace 15 years after the defeat of the demon lord, a newly graduated mage named Kotone Kazairo moves to Dali—the royal capital of the Kingdom of Actus—to begin a new chapter in her life. To find a place to settle, the 16-year-old goes to a real estate firm called Rent Plan Guide (RPG). There, she meets its employees: the pragmatic priest Rufuria, the tomboyish warrior Rakira, and the adorable demihuman Fa.

Coincidentally, Kotone is also set to work at RPG Real Estate and wastes no time learning about the business from her coworkers. With many housing options available to suit the varied eccentricities of its diverse customer pool, RPG Real Estate strives to deliver perfect matches for clients' specific needs, but it is not always an easy task. Even so, Kotone and her colleagues are determined to bring smiles to the faces of their patrons—one home at a time!

[Written by MAL Rewrite]
","Kazairo, Kotone; Fa; Rakira; Rufuria; Toto; Satona; Kazairo, Tsuzumi; Kazairo, Hibiki; Mona; Lily","Gochuumon wa Usagi Desu ka?, Dragon, Ie wo Kau., K-On!, Teekyuu, Slime Taoshite 300-nen, Shiranai Uchi ni Level Max ni Nattemashita, Shachou, Battle no Jikan Desu!, Urara Meirochou, New Game!, Endro~!, Utawarerumono: Futari no Hakuoro, Date A Live V, Love All Play, Shadowverse Flame, Renmei Kuugun Koukuu Mahou Ongakutai Luminous Witches, Kinsou no Vermeil: Gakeppuchi Majutsushi wa Saikyou no Yakusai to Mahou Sekai wo Tsukisusumu, Kaguya-sama wa Kokurasetai: Ultra Romantic"
Birdie Wing: Golf Girls' Story,Musim semi 2022,TV,13,Olahraga,"Infamous among those who gamble on golf games, Eve uses her exceptional skill in the sport to earn a living—by betting and winning against various opponents. Known as the ""Rainbow Bullet,"" she vows to beat her foes and conquer the world of underground golf using only three clubs. However, the universe where Eve knows no defeat is shaken after she plays a clean game with Aoi Amawashi, a golfing prodigy that came to the country of Nafrece to enter a golf tournament. Armed with talent and born into the perfect environment for golf, Aoi the ""Innocent Tyrant"" calmly crushes her enemies with a bright smile on her face.

After their game-changing match, Eve and Aoi become intrigued with each other and promise to battle again someday. As Eve's aggressive and risk-taking approach challenges the elite and steady playstyle of Aoi, the two geniuses may just manage to bring golf to unexpected heights.

[Written by MAL Rewrite]
","Eve; Amawashi, Aoi; Saotome, Ichina; Aleon, Rose; Clara, Klein; Vipère; Misono, Haruka; Lipman, Lily; Christina, Chris; Catherine","SK∞, Carole & Tuesday, Initial D First Stage, Shokugeki no Souma, One Outs, Hanebado!, Burn the Witch, Dan Doh!!, Sorairo Utility, Meitantei Conan: Zero no Tea Time, Kaguya-sama wa Kokurasetai: Ultra Romantic, Gunjou no Fanfare, Musashino!, Yofukashi no Uta, Healer Girl, Kuro no Shoukanshi"
Black★★Rock Shooter:  Dawn Fall,Musim semi 2022,TV,12,"Aksi, Kekuatan Super","In the year 2062, Earth finds itself fiercely battling Artemis—an AI which rebelled against humankind following a grand-scale workforce automation project failure years prior. In the hope of winning the war, a group of three highly skilled human warriors is assembled, known as the guardians of humanity.

Empress, the last surviving guardian, wakes up alone in an empty research facility. Unable to recall anything from the past except a place called ""Lighthouse No. 8,"" she begins to search for answers. It is not long before she discovers an impending threat from Artemis—and she is the sole person who can save the world from destruction.

[Written by MAL Rewrite]
",Black★Rock Shooter; Dead Master; Strength; Lunatic; Smiley; Jessica; Isana; Andy; Momiji; Miya,"Koukaku Kidoutai: SAC_2045, Birdie Wing: Golf Girls' Story, Gensou Sangokushi: Tengen Reishinki, Komi-san wa, Comyushou desu. 2nd Season, Kaijin Kaihatsu-bu no Kuroitsu-san, Koroshi Ai, RPG Fudousan, Fairy Tail: 100 Years Quest, Leadale no Daichi nite, Magia Record: Mahou Shoujo Madoka☆Magica Gaiden 2nd Season - Kakusei Zenya Recap, Tate no Yuusha no Nariagari Season 2, Akebi-chan no Sailor-fuku, Shenmue the Animation, Healer Girl, Rikei ga Koi ni Ochita no de Shoumei shitemita. Heart, Paripi Koumei"
